{-110,-100.11,-99.99,55,98.7,100.9,150}
{-12,-10.128,-9.127,6.149,9.48,10.562,29}
{-12,-10.128,-9.127,6.149,9.48,10.562,29}
{-10,-1.01,-0.99,0.845,0.98,1.5,10}
{-110,-100.11,-99.99,55,98.7,100.9,150}
{-110,-100.11,-99.99,55,98.7,100.9,150}
{-10,-5.02,-4.95,6.7,9.8,10.6,50}
{-42,-30.09,-29.01,17.1,29.37,30.2,60}
{-610,-600.11,-599.99,137,599.8,600.9,750}
{-110,-100.11,-99.99,55,98.7,100.9,150}
{-510,-500.11,-499.99,455,498.7,500.9,650}
{-11,-5.04,-4.85,3.42,4.29,5.06,16}
{-12,-10.128,-9.127,6.149,9.48,10.562,29}
{-11,-5.04,-4.85,3.42,4.29,5.06,16}
{-42,-30.09,-29.01,17.1,29.37,30.2,60}
{-11,-5.04,-4.85,3.42,4.29,5.06,16}
{-61,-50.76,-49.81,0,49.2,50.6,79}
{-61,-50.76,-49.81,0,49.2,50.6,79}
{-910,-900.11,-899.99,537,899.8,900.9,1150}
{-12,-10.128,-9.127,6.149,9.48,10.562,29}
{-2,-0.05,0.7,1.89,3.14,3.26,5}
{-9,-4.45,-3.7,3.18,4.49,8.9,11.23}
{-6.1,-1.282,-1.274,0.429,1.272,1.29,5.4}
{-110,-100.11,-99.99,55,98.7,100.9,150}
{-12,-10.128,-9.127,6.149,9.48,10.562,29}
{-110,-100.11,-99.99,55,98.7,100.9,150}
{-110,-100.11,-99.99,55,98.7,100.9,150}
{-12,-10.128,-9.127,6.149,9.48,10.562,29}
{-12,-10.128,-9.127,6.149,9.48,10.562,29}
{-5.2,-2.14,-1.95,1.52,1.948,2.13,4.89}
{-12,-10.128,-9.127,6.149,9.48,10.562,29}
{-10.28,-1.57,-0.97,2.48,4.97,5.02,16.33}
